code,city,state,state_code
35AN1,Port Blair Dto,Andaman And Nicobar Islands,35
28AP221,Adoni Rto,Andhra Pradesh,28
28AP205,Amalapuram Rta,Andhra Pradesh,28
28AP131,Anakapalli Rta,Andhra Pradesh,28
28AP2,Anantapur Rta,Andhra Pradesh,28
28AP126,Atmakur Mvi Office,Andhra Pradesh,28
28AP104,Badvel Mvi Office,Andhra Pradesh,28
28AP207,Bapatla Mvi Office,Andhra Pradesh,28
28AP137,Bhimavaram Rta,Andhra Pradesh,28
28AP307,Chilakaluripeta Mvi Office,Andhra Pradesh,28
28AP905,Chintoor,Andhra Pradesh,28
28AP127,Chirala Uo,Andhra Pradesh,28
28AP3,Chittoor Rta,Andhra Pradesh,28
28AP4,Cuddapah Rta,Andhra Pradesh,28
28AP427,Darsi Uo,Andhra Pradesh,28
28AP231,Gajuwaka Rta,Andhra Pradesh,28
28AP116,Gudiwada Rta,Andhra Pradesh,28
28AP226,Gudur Rta,Andhra Pradesh,28
28AP202,Guntakal Uo,Andhra Pradesh,28
28AP7,Guntur Rta,Andhra Pradesh,28
28AP102,Hindupur Rta,Andhra Pradesh,28
28AP130,Itchapuram Mvi Office,Andhra Pradesh,28
28AP616,Jaggayyapet Uo,Andhra Pradesh,28
28AP237,Jangareddygudem Rta,Andhra Pradesh,28
28AP227,Kandukur Mvi Office,Andhra Pradesh,28
28AP326,Kavali Uo,Andhra Pradesh,28
28AP337,Kovvuru Uo,Andhra Pradesh,28
28AP21,Kurnool Rta,Andhra Pradesh,28
28AP407,Macherla Mvi Office,Andhra Pradesh,28
28AP203,Madanapalle Uo,Andhra Pradesh,28
28AP405,Mandapeta Uo,Andhra Pradesh,28
28AP507,Mangalagiri Mvi Office,Andhra Pradesh,28
28AP327,Markapur Uo,Andhra Pradesh,28
28AP316,Nandigama Rta,Andhra Pradesh,28
28AP121,Nandyal Rta,Andhra Pradesh,28
28AP107,Narasaraopet Rta,Andhra Pradesh,28
28AP331,Narsipatnam Mvi Office,Andhra Pradesh,28
28AP26,Nellore Rta,Andhra Pradesh,28
28AP416,Nuzvid Uo,Andhra Pradesh,28
28AP41,Paderu Rta,Andhra Pradesh,28
28AP637,Palakole Uo,Andhra Pradesh,28
28AP230,Palakonda Mvi Office,Andhra Pradesh,28
28AP303,Palamaner Mvi Office,Andhra Pradesh,28
28AP135,Parvathipuram Rto Office,Andhra Pradesh,28
28AP607,Piduguralla Uo,Andhra Pradesh,28
28AP403,Piler Mvi Office,Andhra Pradesh,28
28AP27,Prakasam Rta,Andhra Pradesh,28
28AP204,Proddutur Rta,Andhra Pradesh,28
28AP304,Pulivendula Mvi Office,Andhra Pradesh,28
28AP113,Punganur Uo,Andhra Pradesh,28
28AP503,Puttur Mvi Office,Andhra Pradesh,28
28AP105,Rajahmundry Rta,Andhra Pradesh,28
28AP605,Ramachandrapuram Uo,Andhra Pradesh,28
28AP705,Ravulapalem Uo,Andhra Pradesh,28
28AP504,Rayachoti Mvi Office,Andhra Pradesh,28
28AP141,Regional Transport Office Rampachodavaram,Andhra Pradesh,28
28AP37,Rta Eluru,Andhra Pradesh,28
28AP5,Rta Kakinada,Andhra Pradesh,28
28AP216,Rta Machilipatnam,Andhra Pradesh,28
28AP235,Salur Mvi Office,Andhra Pradesh,28
28AP30,Srikakulam Rta,Andhra Pradesh,28
28AP426,Sullurpet Uo,Andhra Pradesh,28
28AP437,Tadepalli Gudem Uo,Andhra Pradesh,28
28AP402,Tadipatri Uo,Andhra Pradesh,28
28AP537,Tanuku Uo,Andhra Pradesh,28
28AP430,Tekkali Mvi Office,Andhra Pradesh,28
28AP707,Tenali Uo,Andhra Pradesh,28
