RegNo,Place,State,StateCode
AN01,Port Blair Dto,Andaman And Nicobar Islands,35
AP22,Adoni Rto,Andhra Pradesh,28
AP20,Amalapuram Rta,Andhra Pradesh,28
AP13,Anakapalli Rta,Andhra Pradesh,28
AP02,Anantapur Rta,Andhra Pradesh,28
AP12,Atmakur Mvi Office,Andhra Pradesh,28
AP10,Badvel Mvi Office,Andhra Pradesh,28
AP30,Chilakaluripeta Mvi Office,Andhra Pradesh,28
AP90,Chintoor,Andhra Pradesh,28
AP03,Chittoor Rta,Andhra Pradesh,28
AP04,Cuddapah Rta,Andhra Pradesh,28
AP42,Darsi Uo,Andhra Pradesh,28
AP23,Gajuwaka Rta,Andhra Pradesh,28
AP11,Gudiwada Rta,Andhra Pradesh,28
AP07,Guntur Rta,Andhra Pradesh,28
AP61,Jaggayyapet Uo,Andhra Pradesh,28
AP32,Kavali Uo,Andhra Pradesh,28
AP33,Kovvuru Uo,Andhra Pradesh,28
AP21,Kurnool Rta,Andhra Pradesh,28
AP40,Macherla Mvi Office,Andhra Pradesh,28
AP50,Mangalagiri Mvi Office,Andhra Pradesh,28
AP31,Nandigama Rta,Andhra Pradesh,28
AP26,Nellore Rta,Andhra Pradesh,28
AP41,Nuzvid Uo,Andhra Pradesh,28
AP63,Palakole Uo,Andhra Pradesh,28
AP60,Piduguralla Uo,Andhra Pradesh,28
AP27,Prakasam Rta,Andhra Pradesh,28
AP70,Ravulapalem Uo,Andhra Pradesh,28
AP14,Regional Transport Office Rampachodavaram,Andhra Pradesh,28
AP37,Rta Eluru,Andhra Pradesh,28
AP05,Rta Kakinada,Andhra Pradesh,28
AP43,Tadepalli Gudem Uo,Andhra Pradesh,28
AP53,Tanuku Uo,Andhra Pradesh,28
AP16,Vijayawada Rta,Andhra Pradesh,28
AP35,Vizianagaram Rta,Andhra Pradesh,28
AP51,Vuyyuru Uo,Andhra Pradesh,28
AR17,Anjaw,Arunachal Pradesh,12
AR12,Changlang,Arunachal Pradesh,12
AR10,Dibang Valley,Arunachal Pradesh,12
AR05,East Kameng,Arunachal Pradesh,12
AR09,East Siang,Arunachal Pradesh,12
AR01,Itanagar Capital Region,Arunachal Pradesh,12
AR23,Kamle,Arunachal Pradesh,12
AR19,Kra-Daadi,Arunachal Pradesh,12
AR15,Kurung Kumey,Arunachal Pradesh,12
AR25,Leparada,Arunachal Pradesh,12
AR11,Lohit,Arunachal Pradesh,12
AR18,Longding,Arunachal Pradesh,12
AR16,Lower Dibang Valley,Arunachal Pradesh,12
AR22,Lower Siang,Arunachal Pradesh,12
AR06,Lower Subansiri,Arunachal Pradesh,12
AR20,Namsai,Arunachal Pradesh,12
AR24,Pakke-Kesang,Arunachal Pradesh,12
AR26,Shi-Yomi,Arunachal Pradesh,12
AR21,Siang,Arunachal Pradesh,12
AR03,Tawang,Arunachal Pradesh,12
AR13,Tirap,Arunachal Pradesh,12
AR14,Upper Siang,Arunachal Pradesh,12
AR07,Upper Subansiri,Arunachal Pradesh,12
AR04,West Kameng,Arunachal Pradesh,12
AR08,West Siang,Arunachal Pradesh,12
AR02,Yupia,Arunachal Pradesh,12
AS15,Barpeta,Assam,18
AS28,Baska,Assam,18
AS32,Biswanath Chariali,Assam,18
AS19,Bongaigaon,Assam,18
AS11,Cachar,Assam,18
AS33,Charaideo,Assam,18
AS26,Chirang,Assam,18
AS13,Darrang,Assam,18
AS22,Dhemaji,Assam,18
AS17,Dhubri,Assam,18
AS06,Dibrugarh,Assam,18
AS08,Dima Hasao,Assam,18
AS18,Goalpara,Assam,18
AS05,Golaghat,Assam,18
AS24,Hailakandi,Assam,18
AS31,Hojai,Assam,18
AS03,Jorhat,Assam,18
AS01,Kamrup,Assam,18
AS25,Kamrup,Assam,18
AS09,Karbi Anglong,Assam,18
AS10,Karimganj,Assam,18
AS16,Kokrajhar,Assam,18
AS07,Lakhimpur,Assam,18
AS29,Majuli,Assam,18
AS21,Morigaon,Assam,18
AS02,Nagaon,Assam,18
AS14,Nalbari,Assam,18
AS04,Sivasagar,Assam,18
AS12,Sonitpur,Assam,18
AS34,South Salmara,Assam,18
AS23,Tinsukia,Assam,18
AS27,Udalguri,Assam,18
BR38,Araria,Bihar,10
BR56,Arawal,Bihar,10
BR26,Aurangabad,Bihar,10
BR51,Banka,Bihar,10
BR09,Begusarai,Bihar,10
BR22,Bettiah,Bihar,10
BR45,Bhabhua,Bihar,10
BR10,Bhagalpur,Bihar,10
BR03,Bhojpur,Bihar,10
BR44,Buxur,Bihar,10
BR04,Chapara,Bihar,10
BR07,Darbhanga,Bihar,10
BR02,Gaya,Bihar,10
BR28,Gopalganj,Bihar,10
BR46,Jamui,Bihar,10
BR25,Jehanabad,Bihar,10
BR39,Katihar,Bihar,10
BR34,Khagaria,Bihar,10
BR37,Kishanganj,Bihar,10
BR53,Lakhisarai,Bihar,10
BR43,Madhepura,Bihar,10
BR32,Madhubani,Bihar,10
BR05,Motihari,Bihar,10
BR08,Munger,Bihar,10
BR06,Muzaffarpur,Bihar,10
BR21,Nalanda,Bihar,10
BR27,Nawada,Bihar,10
BR01,Patna,Bihar,10
BR11,Purnea,Bihar,10
BR24,Rohtas,Bihar,10
BR19,Saharsa,Bihar,10
BR33,Samastipur,Bihar,10
BR52,Sheikhpura,Bihar,10
BR55,Sheohar,Bihar,10
BR30,Sitamarhi,Bihar,10
BR29,Siwan,Bihar,10
BR50,Supaul,Bihar,10
BR31,Vaishali,Bihar,10
CH01,Chandigarh Ut,Chandigarh,4
CG15,Ambikapur Rto,Chhattisgarh,22
CG16,Baikunthpur Dto,Chhattisgarh,22
CG24,Balod Dto,Chhattisgarh,22
CG22,Baloda Bazar Dto,Chhattisgarh,22
CG30,Balrampur Dto,Chhattisgarh,22
CG25,Bemetara Dto,Chhattisgarh,22
CG20,Bijapur Dto,Chhattisgarh,22
CG10,Bilaspur Rto,Chhattisgarh,22
CG18,Dantewada Dto,Chhattisgarh,22
CG05,Dhamtari Dto,Chhattisgarh,22
CG07,Durg Rto,Chhattisgarh,22
CG23,Gariyaband Dto,Chhattisgarh,22
CG31,Gaurela-Pendra-Marwahi Dto,Chhattisgarh,22
CG17,Jagdalpur Rto,Chhattisgarh,22
CG11,Janjgir Champa Dto,Chhattisgarh,22
CG14,Jashpur Dto,Chhattisgarh,22
CG19,Kanker Dto,Chhattisgarh,22
CG09,Kawardha Dto,Chhattisgarh,22
CG27,Kondagaon Dto,Chhattisgarh,22
CG12,Korba Dto,Chhattisgarh,22
CG06,Mahasamund Dto,Chhattisgarh,22
CG28,Mungeli Dto,Chhattisgarh,22
CG21,Narayanpur Dto,Chhattisgarh,22
CG13,Raigarh Dto,Chhattisgarh,22
CG04,Raipur Rto,Chhattisgarh,22
CG08,Rajnandgaon Arto,Chhattisgarh,22
CG26,Sukma Dto,Chhattisgarh,22
CG29,Surajpur Dto,Chhattisgarh,22
DL53,Burari Auto Unit,Delhi,7
DL52,Burari Taxi Unit,Delhi,7
DL09,Dwarka,Delhi,7
DL02,I P Estate,Delhi,7
DL04,Janakpuri,Delhi,7
DL05,Loni Road,Delhi,7
DL01,Mall Road,Delhi,7
DL07,Mayur Vihar,Delhi,7
DL10,Rajouri Garden,Delhi,7
DL51,Rajpur Road-Viu Burari,Delhi,7
DL11,Rohini,Delhi,7
DL06,Sarai Kale Khan,Delhi,7
DL03,South Delhi,Delhi,7
DL13,Surajmal Vihar,Delhi,7
DL12,Vasant Vihar,Delhi,7
DL08,Wazirpur,Delhi,7
GA04,Bicholim Rto,Goa,30
GA10,Canacona Rto,Goa,30
GA12,Dharbandora Rto,Goa,30
GA03,Mapusa Rto,Goa,30
GA08,Margao Rto,Goa,30
GA07,Panaji Rto,Goa,30
GA11,Pernem Rto,Goa,30
GA05,Ponda Rto,Goa,30
GA09,Quepem Rto,Goa,30
GA06,Vasco Rto,Goa,30
GJ30,Aahwa,Gujarat,24
GJ38,"Ahmedabad , Bawla Arto",Gujarat,24
GJ01,Ahmedabad,Gujarat,24
GJ27,Ahmedabad East,Gujarat,24
GJ14,Amreli,Gujarat,24
GJ23,Anand,Gujarat,24
GJ08,Banaskantha,Gujarat,24
GJ19,Bardoli,Gujarat,24
GJ16,Bharuch,Gujarat,24
GJ04,Bhavnagar,Gujarat,24
GJ33,Botad,Gujarat,24
GJ34,Chhotaudaipur,Gujarat,24
GJ20,Dahod,Gujarat,24
GJ18,Gandhinagar,Gujarat,24
GJ10,Jamnagar,Gujarat,24
GJ11,Junagadh,Gujarat,24
GJ12,Kachchh,Gujarat,24
GJ39,Kachchh East,Gujarat,24
GJ37,Khambhaliya,Gujarat,24
GJ07,Kheda,Gujarat,24
GJ35,Lunavada,Gujarat,24
GJ02,Mehsana,Gujarat,24
GJ31,Modasa,Gujarat,24
GJ36,Morbi,Gujarat,24
GJ22,Narmada,Gujarat,24
GJ21,Navsari,Gujarat,24
GJ17,Panchmahal,Gujarat,24
GJ24,Patan,Gujarat,24
GJ25,Porbandar,Gujarat,24
GJ03,Rajkot,Gujarat,24
GJ09,Sabarkantha,Gujarat,24
