Sr_No,City,Make,Model,Variant,CC,CC_Range,Fuel,Discount,Year,Registration
1,Pune,Hyundai,CRETA,1.5 MPI MT SX (1497 CC),1497,1001-1500,Petrol,20%,2024 (SAOD),MH12WP6088
2,Pune,Mahindra,SCORPIO,S11 2WD BSVI (2179 CC) - DIESEL,2179,>1500,Diesel,20%,2024 (SAOD),MH12WN9911
3,Pune,Mahindra,XUV 700,AX 3 MT DIESEL 7 STR (2184 CC),2184,>1500,Diesel,20%,2024 (SAOD),MH12XW0097
4,Pune,Maruti,Brezza,VXI 5MT BSVI (1462 CC) - PETROL,1197,1001-1500,Petrol,20%,2024 (SAOD),MH12WP3083
5,Pune,Maruti,ERTIGA,ZXI PLUS (1462 CC) - PETROL,1373,1001-1500,Petrol,20%,2024 (SAOD),MH12WU0517
6,Pune,Hyundai,i10,ERA 1.2 KAPPA VTVT (1197 CC) - PETROL,1197,1001-1500,Petrol,0%,2022 (3-5 Years),MH12UC2926
7,Pune,Hyundai,CRETA,1.5 MPI MT SX (1497 CC),1497,1001-1500,Petrol,0%,2022 (3-5 Years),MH12UC4684
8,Pune,Hyundai,VENUE,1.2 KAPPA DUAL VTVT 5-SPEED S (1197 CC) - PETROL,1197,1001-1500,Petrol,0%,2022 (3-5 Years),MH12UC2041
9,Pune,KIA,SELTOS,1.5 HTX IVT PETROL (1497 CC) - PETROL,1353,1001-1500,Petrol,0%,2022 (3-5 Years),MH12VG0981
10,Pune,Mahindra,XUV 700,AX 3 MT DIESEL 7 STR (2184 CC),2184,>1500,Diesel,0%,2022 (3-5 Years),MH12UD6500
11,Pune,Maruti,Brezza,VXI 5MT BSVI (1462 CC) - PETROL,1197,1001-1500,Petrol,0%,2022 (3-5 Years),MH12UC0400
12,Pune,Maruti,ERTIGA,ZXI PLUS (1462 CC) - PETROL,1373,1001-1500,Petrol,0%,2022 (3-5 Years),MH12UF5599
13,Pune,Toyota,INNOVA CRYSTA,2.4 VX 7 STR (2393 CC) - DIESEL,2393,>1500,Diesel,0%,2022 (3-5 Years),MH12UC9903
14,Pune,Hyundai,VENUE,1.2 KAPPA DUAL VTVT 5-SPEED S (1197 CC) - PETROL,1197,1001-1500,Petrol,20%,2022 (3-5 Years),MH12UC2874
15,Pune,KIA,SELTOS,1.5 HTX IVT PETROL (1497 CC) - PETROL,1353,1001-1500,Petrol,20%,2022 (3-5 Years),MH12UC9499
16,Pune,Mahindra,THAR,LX CONVERTIBLE AT 4STR DIESEL (2184 CC) - DIESEL,2498,>1500,Diesel,20%,2022 (3-5 Years),MH12UF3333
17,Pune,Mahindra,XUV 700,AX 3 MT DIESEL 7 STR (2184 CC),2184,>1500,Diesel,20%,2022 (3-5 Years),MH12UJ1616
18,Pune,Maruti,Brezza,VXI 5MT BSVI (1462 CC) - PETROL,1197,1001-1500,Petrol,20%,2022 (3-5 Years),MH12UC5492
19,Pune,Toyota,INNOVA CRYSTA,2.4 VX 7 STR (2393 CC) - DIESEL,2393,>1500,Diesel,20%,2022 (3-5 Years),MH12UJ0909
20,Pune,Hyundai,i10,ERA 1.2 KAPPA VTVT (1197 CC) - PETROL,1197,1001-1500,Petrol,35%,2022 (3-5 Years),MH12UJ0326


