Sr_No,City,Make,Model,Variant,CC,CC_Range,Fuel,Discount,Year,Registration
1,Mumbai,Hyundai,i10,ERA 1.2 KAPPA VTVT (1197 CC) - PETROL,1197,1001-1500,Petrol,0%,2024 (SAOD),MH01EN5149
2,Mumbai,Hyundai,CRETA,1.5 MPI MT SX (1497 CC),1497,1001-1500,Petrol,0%,2024 (SAOD),MH01EN4803
3,Mumbai,Hyundai,VENUE,1.2 KAPPA DUAL VTVT 5-SPEED S (1197 CC) - PETROL,1197,1001-1500,Petrol,0%,2024 (SAOD),MH03EL2115
4,Mumbai,KIA,SELTOS,1.5 HTX IVT PETROL (1497 CC) - PETROL,1353,1001-1500,Petrol,0%,2024 (SAOD),MH02GE0206
5,Mumbai,Mahindra,SCORPIO,S11 2WD BSVI (2179 CC) - DIESEL,2179,>1500,Diesel,0%,2024 (SAOD),24BH5770E
6,Mumbai,Mahindra,XUV 700,AX 3 MT DIESEL 7 STR (2184 CC),2184,>1500,Diesel,0%,2024 (SAOD),MH03EL1692
7,Mumbai,Toyota,INNOVA CRYSTA,2.4 VX 7 STR (2393 CC) - DIESEL,2393,>1500,Diesel,0%,2024 (SAOD),MH03EL5000
8,Mumbai,Hyundai,CRETA,1.5 MPI MT SX (1497 CC),1497,1001-1500,Petrol,20%,2024 (SAOD),24BH9319G
9,Mumbai,Mahindra,XUV 700,AX 3 MT DIESEL 7 STR (2184 CC),2184,>1500,Diesel,20%,2024 (SAOD),MH02GE0104
10,Mumbai,Maruti,Brezza,VXI 5MT BSVI (1462 CC) - PETROL,1197,1001-1500,Petrol,20%,2024 (SAOD),MH02GE0472

