City,Make,Model,Variant,CC,CC Range,Fuel Type,Unused1,Discount,Unused2,Year,Vehicle Number
Pune,Maruti,Wagon R,STINGRAY LXI (998 CC) - PETROL,998,Up to 1000,Petrol,,0%,,2018 (9 Years),MH12QF3635
Pune,Toyota,INNOVA CRYSTA,2.4 VX 7 STR (2393 CC) - DIESEL,2393,> 1500,Diesel,,0%,,2018 (9 Years),MH12PZ9903
Pune,Mahindra,SCORPIO,S11 2WD BSVI (2179 CC) - DIESEL,2179,> 1500,Diesel,,20%,,2018 (9 Years),MH12QM5860
Pune,Maruti,Alto,LXI (998 CC) - CNG,998,Up to 1000,Petrol,,20%,,2018 (9 Years),MH12RF4981
Pune,Maruti,Wagon R,STINGRAY LXI (998 CC) - PETROL,998,Up to 1000,Petrol,,20%,,2018 (9 Years),MH12PZ8819
Pune,Toyota,INNOVA CRYSTA,2.4 VX 7 STR (2393 CC) - DIESEL,2393,> 1500,Diesel,,20%,,2018 (9 Years),MH12QT9678
Pune,Hyundai,i10,ERA 1.2 KAPPA VTVT(1197 CC) - PETROL,1197,1001-1500,Petrol,,35%,,2018 (9 Years),MH12QT3207
Pune,Mahindra,SCORPIO,S11 2WD BSVI (2179 CC) - DIESEL,2179,> 1500,Diesel,,35%,,2018 (9 Years),MH12QF1222
Pune,Maruti,ERTIGA,ZXI PLUS (1462 CC) - PETROL,1373,1001-1500,Petrol,,35%,,2018 (9 Years),MH12QF1910
Pune,Toyota,INNOVA CRYSTA,2.4 VX 7 STR (2393 CC) - DIESEL,2393,> 1500,Diesel,,35%,,2018 (9 Years),MH12QM4444
Ahmedabad,Toyota,INNOVA CRYSTA,2.4 VX 7 STR (2393 CC) - DIESEL,2393,> 1500,Diesel,,0%,,2024 (SAOD),GJ27EE2323
Ahmedabad,Hyundai,VENUE,1.2 KAPPA DUAL VTVT 5-SPEED S (1197 CC) - PETROL,1197,1001-1500,Petrol,,20%,,2024 (SAOD),GJ01WS8487
Ahmedabad,Toyota,INNOVA CRYSTA,2.4 VX 7 STR (2393 CC) - DIESEL,2393,> 1500,Diesel,,20%,,2024 (SAOD),GJ27ED9281
Ahmedabad,Hyundai,i10,ERA 1.2 KAPPA VTVT(1197 CC) - PETROL,1197,1001-1500,Petrol,,0%,,2022 (3 -5 Years),GJ01WF8205
Ahmedabad,Hyundai,CRETA,1.5 MPI MT SX (1497 CC),1497,1001-1500,Petrol,,0%,,2022 (3 -5 Years),GJ01WH1239
Ahmedabad,KIA,SELTOS,1.5 HTX IVT PETROL (1497 CC) - PETROL,1353,1001-1500,Petrol,,0%,,2022 (3 -5 Years),GJ01WG0158
Ahmedabad,Mahindra,THAR,LX CONVERTIBLE AT 4STR DIESEL(2184 CC) - DIESEL,2498,> 1500,Diesel,,0%,,2022 (3 -5 Years),GJ27EA3365
Ahmedabad,Mahindra,XUV 300,1.2 W6 (1197 CC) - PETROL,1197,1001-1500,Petrol,,0%,,2022 (3 -5 Years),GJ01WG0613
Ahmedabad,Mahindra,XUV 700,AX 3 MT DIESEL 7 STR(2184 CC),2184,> 1500,Diesel,,0%,,2022 (3 -5 Years),GJ01WF7996

